
2025/05/13 (13:00:14) | ===> btop++ v.1.4.0
2025/05/13 (13:00:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/13 (13:19:54) | ===> btop++ v.1.4.0
2025/05/13 (13:19:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/14 (22:35:34) | ===> btop++ v.1.4.0
2025/05/14 (22:35:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/22 (11:29:17) | ===> btop++ v.1.4.0
2025/05/22 (11:29:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/22 (11:57:29) | ===> btop++ v.1.4.0
2025/05/22 (11:57:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/23 (09:18:54) | ===> btop++ v.1.4.0
2025/05/23 (09:18:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/24 (09:35:17) | ===> btop++ v.1.4.0
2025/05/24 (09:35:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/24 (12:03:08) | ===> btop++ v.1.4.0
2025/05/24 (12:03:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/24 (14:47:42) | ===> btop++ v.1.4.0
2025/05/24 (14:47:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/02 (12:05:32) | ===> btop++ v.1.4.0
2025/06/02 (12:05:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/04 (10:54:58) | ===> btop++ v.1.4.0
2025/06/04 (10:54:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/04 (11:25:18) | ===> btop++ v.1.4.0
2025/06/04 (11:25:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/13 (09:32:58) | ===> btop++ v.1.4.0
2025/06/13 (09:32:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/23 (01:08:06) | ===> btop++ v.1.4.0
2025/06/23 (01:08:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/26 (11:30:56) | ===> btop++ v.1.4.0
2025/06/26 (11:30:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/26 (12:21:59) | ===> btop++ v.1.4.0
2025/06/26 (12:21:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/27 (11:05:07) | ===> btop++ v.1.4.0
2025/06/27 (11:05:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/08 (18:49:18) | ===> btop++ v.1.4.0
2025/07/08 (18:49:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/14 (01:08:47) | ===> btop++ v.1.4.0
2025/07/14 (01:08:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/15 (01:06:05) | ===> btop++ v.1.4.0
2025/07/15 (01:06:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/15 (01:06:26) | WARNING: Failed to join _runner thread on exit!

2025/07/18 (12:37:20) | ===> btop++ v.1.4.0
2025/07/18 (12:37:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/22 (14:59:34) | ===> btop++ v.1.4.0
2025/07/22 (14:59:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/23 (09:36:12) | ===> btop++ v.1.4.0
2025/07/23 (09:36:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/26 (14:06:46) | ===> btop++ v.1.4.0
2025/07/26 (14:06:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/27 (09:04:16) | ===> btop++ v.1.4.0
2025/07/27 (09:04:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/28 (01:14:11) | ===> btop++ v.1.4.0
2025/07/28 (01:14:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/28 (14:19:32) | ===> btop++ v.1.4.0
2025/07/28 (14:19:32) | WARNING: Intel GPU: Failed to initialize PMU
